id_hex wheel_hex sector pfeb tds_channel pad_channel x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 wheel id layer quad
0x7f88015000000000 0xA 4 8 64 29 369.961 2787.25 7454.53 2.83379 2787.21 7454.5 380.672 2868.67 7454.6 2.825 2868.63 7454.57 10 9189596482758508544 0 1
0x7f8801e000000000 0xA 4 8 65 28 699.204 2787.29 7454.56 369.961 2787.25 7454.53 719.495 2868.71 7454.63 380.672 2868.67 7454.6 10 9189597101233799168 0 1
0x7f88003800000000 0xA 4 8 66 27 -375.022 2868.59 7454.54 -717.845 2868.55 7454.51 -385.75 2950.01 7454.61 -738.154 2949.97 7454.58 10 9189595280167665664 0 1
0x7f8800c800000000 0xA 4 8 67 26 2.825 2868.63 7454.57 -375.022 2868.59 7454.54 2.81621 2950.05 7454.64 -385.75 2950.01 7454.61 10 9189595898642956288 0 1
0x7f88015800000000 0xA 4 8 68 25 380.672 2868.67 7454.6 2.825 2868.63 7454.57 391.382 2950.09 7454.67 2.81621 2950.05 7454.64 10 9189596517118246912 0 1
0x7f8801e800000000 0xA 4 8 69 24 719.495 2868.71 7454.63 380.672 2868.67 7454.6 739.787 2950.13 7454.7 391.382 2950.09 7454.67 10 9189597135593537536 0 1
0x7f88004000000000 0xA 4 8 70 23 -385.75 2950.01 7454.61 -738.154 2949.97 7454.58 -396.477 3031.43 7454.68 -758.463 3031.39 7454.65 10 9189595314527404032 0 1
0x7f8800d000000000 0xA 4 8 71 22 2.81621 2950.05 7454.64 -385.75 2950.01 7454.61 2.80741 3031.47 7454.71 -396.477 3031.43 7454.68 10 9189595933002694656 0 1
0x7f88016000000000 0xA 4 8 72 21 391.382 2950.09 7454.67 2.81621 2950.05 7454.64 402.092 3031.51 7454.74 2.80741 3031.47 7454.71 10 9189596551477985280 0 1
0x7f8801f000000000 0xA 4 8 73 20 739.787 2950.13 7454.7 391.382 2950.09 7454.67 760.078 3031.55 7454.77 402.092 3031.51 7454.74 10 9189597169953275904 0 1
0x7f88004800000000 0xA 4 8 74 19 -396.477 3031.43 7454.68 -758.463 3031.39 7454.65 -407.205 3112.85 7454.75 -778.772 3112.81 7454.72 10 9189595348887142400 0 1
0x7f8800d800000000 0xA 4 8 75 18 2.80741 3031.47 7454.71 -396.477 3031.43 7454.68 2.79862 3112.89 7454.78 -407.205 3112.85 7454.75 10 9189595967362433024 0 1
0x7f88016800000000 0xA 4 8 76 17 402.092 3031.51 7454.74 2.80741 3031.47 7454.71 412.803 3112.94 7454.81 2.79862 3112.89 7454.78 10 9189596585837723648 0 1
0x7f8801f800000000 0xA 4 8 77 16 760.078 3031.55 7454.77 402.092 3031.51 7454.74 780.369 3112.98 7454.84 412.803 3112.94 7454.81 10 9189597204313014272 0 1
